Year,Cause of Death,State,State FIPS Code,HHS Region,Age Range,Benchmark,Locality,Observed Deaths,Population,Expected Deaths,Potentially Excess Deaths,Percent Potentially Excess Deaths
2005,Cancer,Alabama,AL,4,0-49,2005 Fixed,All,756,3148377,451,305,40.3
2005,Cancer,Alabama,AL,4,0-49,2005 Fixed,Metropolitan,556,2379871,341,217,39
2005,Cancer,Alabama,AL,4,0-49,2005 Fixed,Nonmetropolitan,200,768506,111,89,44.5
2005,Cancer,Alabama,AL,4,0-49,2010 Fixed,All,756,3148377,421,335,44.3
2005,Cancer,Alabama,AL,4,0-49,2010 Fixed,Metropolitan,556,2379871,318,238,42.8
2005,Cancer,Alabama,AL,4,0-49,2010 Fixed,Nonmetropolitan,200,768506,103,97,48.5
2005,Cancer,Alabama,AL,4,0-49,Floating,All,756,3148377,451,305,40.3
2005,Cancer,Alabama,AL,4,0-49,Floating,Metropolitan,556,2379871,341,217,39
2005,Cancer,Alabama,AL,4,0-49,Floating,Nonmetropolitan,200,768506,111,89,44.5
2005,Cancer,Alabama,AL,4,0-54,2005 Fixed,All,1346,3463216,784,562,41.8
2005,Cancer,Alabama,AL,4,0-54,2005 Fixed,Metropolitan,968,2615416,590,379,39.2
2005,Cancer,Alabama,AL,4,0-54,2005 Fixed,Nonmetropolitan,378,847800,194,184,48.7
2005,Cancer,Alabama,AL,4,0-54,2010 Fixed,All,1346,3463216,764,582,43.2
2005,Cancer,Alabama,AL,4,0-54,2010 Fixed,Metropolitan,968,2615416,574,394,40.7
2005,Cancer,Alabama,AL,4,0-54,2010 Fixed,Nonmetropolitan,378,847800,189,189,50
2005,Cancer,Alabama,AL,4,0-54,Floating,All,1346,3463216,784,562,41.8
2005,Cancer,Alabama,AL,4,0-54,Floating,Metropolitan,968,2615416,590,379,39.2
2005,Cancer,Alabama,AL,4,0-54,Floating,Nonmetropolitan,378,847800,194,184,48.7
2005,Cancer,Alabama,AL,4,0-59,2005 Fixed,All,2199,3747300,1330,869,39.5
2005,Cancer,Alabama,AL,4,0-59,2005 Fixed,Metropolitan,1596,2823908,992,606,38
2005,Cancer,Alabama,AL,4,0-59,2005 Fixed,Nonmetropolitan,603,923392,338,265,43.9
2005,Cancer,Alabama,AL,4,0-59,2010 Fixed,All,2199,3747300,1264,935,42.5
2005,Cancer,Alabama,AL,4,0-59,2010 Fixed,Metropolitan,1596,2823908,943,653,40.9
2005,Cancer,Alabama,AL,4,0-59,2010 Fixed,Nonmetropolitan,603,923392,321,282,46.8
2005,Cancer,Alabama,AL,4,0-59,Floating,All,2199,3747300,1330,869,39.5
2005,Cancer,Alabama,AL,4,0-59,Floating,Metropolitan,1596,2823908,992,606,38
2005,Cancer,Alabama,AL,4,0-59,Floating,Nonmetropolitan,603,923392,338,265,43.9
2005,Cancer,Alabama,AL,4,0-64,2005 Fixed,All,3244,3967703,2067,1177,36.3
2005,Cancer,Alabama,AL,4,0-64,2005 Fixed,Metropolitan,2325,2982884,1524,801,34.5
2005,Cancer,Alabama,AL,4,0-64,2005 Fixed,Nonmetropolitan,919,984819,543,376,40.9
2005,Cancer,Alabama,AL,4,0-64,2010 Fixed,All,3244,3967703,1931,1313,40.5
2005,Cancer,Alabama,AL,4,0-64,2010 Fixed,Metropolitan,2325,2982884,1425,900,38.7
2005,Cancer,Alabama,AL,4,0-64,2010 Fixed,Nonmetropolitan,919,984819,506,413,44.9
2005,Cancer,Alabama,AL,4,0-64,Floating,All,3244,3967703,2067,1177,36.3
2005,Cancer,Alabama,AL,4,0-64,Floating,Metropolitan,2325,2982884,1524,801,34.5
2005,Cancer,Alabama,AL,4,0-64,Floating,Nonmetropolitan,919,984819,543,376,40.9
2005,Cancer,Alabama,AL,4,0-69,2005 Fixed,All,4472,4147645,2966,1506,33.7
2005,Cancer,Alabama,AL,4,0-69,2005 Fixed,Metropolitan,3210,3110812,2165,1047,32.6
2005,Cancer,Alabama,AL,4,0-69,2005 Fixed,Nonmetropolitan,1262,1036833,801,461,36.5
2005,Cancer,Alabama,AL,4,0-69,2010 Fixed,All,4472,4147645,2676,1796,40.2
2005,Cancer,Alabama,AL,4,0-69,2010 Fixed,Metropolitan,3210,3110812,1955,1255,39.1
2005,Cancer,Alabama,AL,4,0-69,2010 Fixed,Nonmetropolitan,1262,1036833,721,541,42.9
2005,Cancer,Alabama,AL,4,0-69,Floating,All,4472,4147645,2966,1506,33.7
2005,Cancer,Alabama,AL,4,0-69,Floating,Metropolitan,3210,3110812,2165,1047,32.6
2005,Cancer,Alabama,AL,4,0-69,Floating,Nonmetropolitan,1262,1036833,801,461,36.5
2005,Cancer,Alabama,AL,4,0-74,2005 Fixed,All,5872,4296730,4013,1859,31.7
2005,Cancer,Alabama,AL,4,0-74,2005 Fixed,Metropolitan,4215,3217326,2911,1304,30.9
2005,Cancer,Alabama,AL,4,0-74,2005 Fixed,Nonmetropolitan,1657,1079404,1102,555,33.5
2005,Cancer,Alabama,AL,4,0-74,2010 Fixed,All,5872,4296730,3670,2202,37.5
2005,Cancer,Alabama,AL,4,0-74,2010 Fixed,Metropolitan,4215,3217326,2664,1551,36.8
2005,Cancer,Alabama,AL,4,0-74,2010 Fixed,Nonmetropolitan,1657,1079404,1006,651,39.3
2005,Cancer,Alabama,AL,4,0-74,Floating,All,5872,4296730,4013,1859,31.7
2005,Cancer,Alabama,AL,4,0-74,Floating,Metropolitan,4215,3217326,2911,1304,30.9
2005,Cancer,Alabama,AL,4,0-74,Floating,Nonmetropolitan,1657,1079404,1102,555,33.5
2005,Cancer,Alabama,AL,4,0-79,2005 Fixed,All,7350,4417653,5241,2110,28.7
2005,Cancer,Alabama,AL,4,0-79,2005 Fixed,Metropolitan,5293,3304507,3796,1498,28.3
2005,Cancer,Alabama,AL,4,0-79,2005 Fixed,Nonmetropolitan,2057,1113146,1444,613,29.8
2005,Cancer,Alabama,AL,4,0-79,2010 Fixed,All,7350,4417653,4744,2606,35.5
2005,Cancer,Alabama,AL,4,0-79,2010 Fixed,Metropolitan,5293,3304507,3439,1854,35
2005,Cancer,Alabama,AL,4,0-79,2010 Fixed,Nonmetropolitan,2057,1113146,1306,751,36.5
2005,Cancer,Alabama,AL,4,0-79,Floating,All,7350,4417653,5241,2110,28.7
